case_id,category,source,url,expected_label,expected_malicious,api_mode,status,http_status,verdict,predicted_positive,predicted_danger,outcome,score,final_url,elapsed_seconds,pipeline_total_seconds,normalize_seconds,unchain_seconds,threat_db_seconds,domain_heuristic_seconds,content_analysis_seconds,gsb_checked,gsb_threat,gsb_error,urlhaus_checked,urlhaus_threat,urlhaus_match_type,urlhaus_error,domain_score,domain_signals,content_fetched,content_score,content_signals,content_error,content_status_code,ai_verdict,ai_error,ai_model,ai_prompt_tokens,ai_completion_tokens,ai_total_tokens,failed_at_stage,failure_error_code,failure_status_code,failure_error,no_verdict_reason,error
openphish_001,openphish_malicious,OpenPhish,http://www.gov-parkingsii.cyou/com,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://www.gov-parkingsii.cyou/com,0.833894,0.829045,9e-05,0.589492,0.238559,0.238698,3.5e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_003,openphish_malicious,OpenPhish,https://t-mobile.bwcdkz.top/pay,malicious,true,db_dependent,success,200,danger,true,true,TP,80,https://t-mobile.bwcdkz.top/pay,4.828445,4.824047,5.4e-05,4.001845,0.183618,0.005499,0.636893,True,False,,True,False,,,80,SUSPICIOUS_TLD|SENSITIVE_PATH|BRAND_IN_URL|NEW_DOMAIN,False,0,FETCH_FAILED,unexpected_redirect,301,,,,,,,,,,,,
openphish_004,openphish_malicious,OpenPhish,https://t-mobile.rokpbm.top/pay,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://t-mobile.rokpbm.top/pay/,4.536882,4.53266,0.000215,2.134914,0.201492,0.007287,2.195504,True,False,,True,False,,,80,SUSPICIOUS_TLD|SENSITIVE_PATH|BRAND_IN_URL|NEW_DOMAIN,True,31,,,200,suspicious,,gpt-4o-mini,752,32,784,,,,,,
openphish_002,openphish_malicious,OpenPhish,https://t-mobile.sdxwuo.top/pay,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://t-mobile.sdxwuo.top/pay/,6.140953,6.138143,6e-05,3.08144,0.200122,0.00465,2.856085,True,False,,True,False,,,80,SUSPICIOUS_TLD|SENSITIVE_PATH|BRAND_IN_URL|NEW_DOMAIN,True,45,,,200,phishing,,gpt-4o-mini,714,28,742,,,,,,
openphish_005,openphish_malicious,OpenPhish,http://t-mobile.therqz.top/pay/,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://t-mobile.therqz.top/pay/,4.644908,4.639661,0.000203,2.607593,0.212,0.008227,1.819081,True,False,,True,False,,,80,SUSPICIOUS_TLD|SENSITIVE_PATH|BRAND_IN_URL|NEW_DOMAIN,True,45,,,200,phishing,,gpt-4o-mini,714,28,742,,,,,,
openphish_006,openphish_malicious,OpenPhish,http://oakandgarden.eu/,malicious,true,db_dependent,success,200,safe,false,false,FN,,https://oakandgarden.eu/,4.665011,4.658779,0.00018,1.758896,0.194822,0.492657,2.406104,True,False,,True,False,,,,,True,0,,,200,benign,,gpt-4o-mini,816,32,848,,,,,,
openphish_008,openphish_malicious,OpenPhish,https://dpd.twplqxr.cfd/com,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://dpd.twplqxr.cfd/com,0.755926,0.750663,0.000451,0.586184,0.163185,0.001007,2.4e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_007,openphish_malicious,OpenPhish,http://id8319832apple.sviluppo.host/8209398182/,malicious,true,db_dependent,success,200,danger,true,true,TP,86,http://id8319832apple.sviluppo.host/8209398182/,4.174003,4.170241,8.5e-05,0.8198,0.209045,1.689748,1.660124,True,False,,True,False,,,50,NO_HTTPS|BRAND_IN_URL,True,36,SPA_SHELL|EXTERNAL_LINK_OVERUSE,,200,suspicious,,gpt-4o-mini,759,25,784,,,,,,
openphish_009,openphish_malicious,OpenPhish,https://dpd.gnwrzkp.icu/com,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://dpd.gnwrzkp.icu/com,0.822541,0.799737,0.000385,0.624353,0.172587,0.001147,5.9e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_010,openphish_malicious,OpenPhish,https://dpd.kzwlnxp.icu/com,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://dpd.kzwlnxp.icu/com,0.798969,0.792541,0.000307,0.605248,0.18518,0.001257,6.5e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_011,openphish_malicious,OpenPhish,https://dpd.cxrmptv.club/com,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://dpd.cxrmptv.club/com,0.753515,0.747317,0.000235,0.555352,0.190007,0.190691,5e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_014,openphish_malicious,OpenPhish,https://m.365365e.app/eng/home/index,malicious,true,db_dependent,success,200,caution,true,false,TP,56,https://m.365365e.app/eng/home/index,2.425078,2.390161,0.000155,0.517865,0.184637,0.583768,1.287558,True,False,,True,False,,,25,NEW_DOMAIN,True,31,SPA_SHELL,,200,suspicious,,gpt-4o-mini,697,28,725,,,,,,
openphish_015,openphish_malicious,OpenPhish,http://www.usbankproject2.vercel.app/,malicious,true,db_dependent,success,200,danger,true,true,TP,100,https://www.usbankproject2.vercel.app/,1.243115,1.236223,0.00027,1.009032,0.225095,0.22583,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
