case_id,category,url,expected_label,expected_malicious,source
openphish_001,openphish_malicious,https://sia.inicioseguro.com/c/p/tc/3080/eece42f9-8c69-496a-a73d-054cd8cb10bb-79f1cb36-f9af-4af7-9acd-c4579cdfaf11/,malicious,true,OpenPhish
openphish_002,openphish_malicious,https://www.r.oblox.com.et/users/8077342404/profile,malicious,true,OpenPhish
openphish_003,openphish_malicious,http://hawkfs.icu/snx/pr/,malicious,true,OpenPhish
openphish_004,openphish_malicious,https://www.roblox.com.bi/games/17625359962/RIVALS?privateServerLinkCode=26794274690145427755087934733914,malicious,true,OpenPhish
openphish_005,openphish_malicious,http://www.gov-parkingiss.top/com/,malicious,true,OpenPhish
openphish_006,openphish_malicious,http://verificarcuentae2026kkks.fwh.is/,malicious,true,OpenPhish
openphish_007,openphish_malicious,https://www.ingtfi24.pl/informacja-dla-nowego-uzytkownika,malicious,true,OpenPhish
openphish_008,openphish_malicious,https://ashishcodes-hub.github.io/Amazone-Clone,malicious,true,OpenPhish
openphish_009,openphish_malicious,https://wordpress-212781-0.cloudclusters.net/finAzld/swisspass-sbbclientccf/c3Bhc3Mtc2JiY2/,malicious,true,OpenPhish
openphish_010,openphish_malicious,https://68-221-169-7.cprapid.com/de/update.php,malicious,true,OpenPhish
openphish_011,openphish_malicious,https://www.roblox.com.ml/users/362771277878/profile,malicious,true,OpenPhish
openphish_012,openphish_malicious,http://sslink.one/uo8m0Y?k=108ce071693577f7,malicious,true,OpenPhish
openphish_013,openphish_malicious,https://www.roblox.com.ml/games/126884695634066/Grow-a-Garden?privateServerLinkCode=803082840166890579133236661534,malicious,true,OpenPhish
openphish_014,openphish_malicious,https://buscarmeuiphone.com/expire/,malicious,true,OpenPhish
openphish_015,openphish_malicious,https://buscarmeuiphone.com/?i=pkakn,malicious,true,OpenPhish
openphish_016,openphish_malicious,http://raphaelaguilar.matmcc.org/netsource/,malicious,true,OpenPhish
openphish_017,openphish_malicious,https://www.roblox.com.et/games/99001115434148/Fluxo-PVP-LIMITED-EVENT?privateServerLinkCode=19696371439770339491581196338406&game_id=99001115434148&game_name=Fluxo-PVP-LIMITED-EVENT,malicious,true,OpenPhish
openphish_018,openphish_malicious,https://m.365bet441.com/eng/home/index/,malicious,true,OpenPhish
openphish_019,openphish_malicious,https://plearnthaipalace.com/~r5g8ldveioxpnxqm/assets/images/images/9/login.php,malicious,true,OpenPhish
openphish_020,openphish_malicious,https://pralav00chauhan1.github.io/projectSem2,malicious,true,OpenPhish
openphish_021,openphish_malicious,https://www.roblox.com.ml/users/275740312083/profile,malicious,true,OpenPhish
openphish_022,openphish_malicious,https://arjun-gohil.github.io/amazon-clone,malicious,true,OpenPhish
openphish_023,openphish_malicious,https://www.matamak-sex-logi.godaddysites.com/,malicious,true,OpenPhish
openphish_024,openphish_malicious,http://cashappp.cn/,malicious,true,OpenPhish
openphish_025,openphish_malicious,https://wwwmaxski.top/4G,malicious,true,OpenPhish
openphish_026,openphish_malicious,https://q8f1c8d4a6e23f9c5d1a7b0e4c8f6291.57e7egs.com/,malicious,true,OpenPhish
openphish_027,openphish_malicious,https://www.site-yrcwyxkr5.godaddysites.com/,malicious,true,OpenPhish
openphish_028,openphish_malicious,https://joshi7890-creator.github.io/amazonclone/,malicious,true,OpenPhish
openphish_029,openphish_malicious,https://itskelvinking1-cell.github.io/,malicious,true,OpenPhish
openphish_030,openphish_malicious,https://muskan350.github.io/Netflix_Clone/,malicious,true,OpenPhish
openphish_031,openphish_malicious,http://invited-for-bluefree.surge.sh/,malicious,true,OpenPhish
openphish_032,openphish_malicious,http://masukglobalkarir.com/,malicious,true,OpenPhish
openphish_033,openphish_malicious,https://s4w.in/www-roblox-com-users-481239458123-profile,malicious,true,OpenPhish
openphish_034,openphish_malicious,https://www.roblox.com.mu/users/8699842275/profile,malicious,true,OpenPhish
openphish_035,openphish_malicious,https://nt5jc-uowkl9-amo9e7-shr-6ry.pages.dev/,malicious,true,OpenPhish
openphish_036,openphish_malicious,https://nt5jc-uowkl9-amo9e7-shr-6ry.pages.dev/welcome_aboard?welcome=1310386448984550,malicious,true,OpenPhish
openphish_037,openphish_malicious,https://t-mobile.msptag.top/pay/_frame/a_shop.html,malicious,true,OpenPhish
openphish_038,openphish_malicious,http://alert-navyfederal.web.app/account/activity/transaction/transaction_id=WyjzaGlub2J1Lmta57ecd?i=e005a4,malicious,true,OpenPhish
openphish_039,openphish_malicious,http://biomederp.com/adm/adt/embed?url=ahr0chm6ly9iaw9tzwrlcnauy29tl2fkbs9hzhqvl2nhy2hll0fubgh5a2zwzmpiall4eha/,malicious,true,OpenPhish
openphish_040,openphish_malicious,http://deft-melomakarona-39ea10.netlify.app/,malicious,true,OpenPhish
openphish_041,openphish_malicious,http://reelotv.netlify.app/,malicious,true,OpenPhish
openphish_042,openphish_malicious,http://www.hoteljessica.com.co/,malicious,true,OpenPhish
openphish_043,openphish_malicious,http://hklogin.uat.mizuhoscfglobal.com/,malicious,true,OpenPhish
openphish_044,openphish_malicious,http://www.roblox.et/communities/8372247911/hangout,malicious,true,OpenPhish
openphish_045,openphish_malicious,http://868542.com/,malicious,true,OpenPhish
openphish_046,openphish_malicious,http://estudiocils.com.ar/1981981981555antai/embed?url=ahr0chm6ly9lc3r1zglvy2lscy5jb20uyxivmtk4mtk4mtk4mtu1nwfudgfply9jywnozs9gvg5eeglvakpprg5wak13pw,malicious,true,OpenPhish
openphish_047,openphish_malicious,https://avanteshipping.com/-/esk/,malicious,true,OpenPhish
openphish_048,openphish_malicious,http://waud-ehhhh4bwhxc6dth3.z03.azurefd.net/,malicious,true,OpenPhish
openphish_049,openphish_malicious,https://humorous-zebra-189284.framer.app/,malicious,true,OpenPhish
openphish_050,openphish_malicious,https://click-hostopoint-ch-redirect4624571.blogspot.com/,malicious,true,OpenPhish
openphish_051,openphish_malicious,https://portal--trezr-suite.typedream.app/,malicious,true,OpenPhish
openphish_052,openphish_malicious,https://wwwmaxlsc.xyz/4G,malicious,true,OpenPhish
openphish_053,openphish_malicious,https://neha-0858.github.io/final-first-year-project,malicious,true,OpenPhish
openphish_054,openphish_malicious,http://teach.laitiaozhan.com/,malicious,true,OpenPhish
openphish_055,openphish_malicious,https://tu-dresden-oabvf.4webshare.com/ephyvpwbjdomh455cmixmjgr6g2gbjdcr6mcfc62wcycgt/?FEdzyN,malicious,true,OpenPhish
openphish_056,openphish_malicious,https://shiwang11.github.io/AMAZON.github.io,malicious,true,OpenPhish
openphish_057,openphish_malicious,https://yaffa48-stg.nadqa.nadsoft.co/wp-content/vvsy/global/cny/GlobalSources/?email=elar@e5e71c7255ac94e64615cf46719517b05417.net,malicious,true,OpenPhish
openphish_058,openphish_malicious,https://www.roblox.com.ml/users/445321168158/profile,malicious,true,OpenPhish
openphish_059,openphish_malicious,https://www.caierba.it/tmp/2af07bc1-c285-4062-aa86-5848cc36794b/larpackit/,malicious,true,OpenPhish
openphish_060,openphish_malicious,https://track.pstmrk.it/3s/lizaparonasteamworkspace.myclickfunnels.com/aolao/804w/tDjGAQ/AQ/e2d03e5e-d4c4-43dc-8af1-15ee4f7e57ee/1/ItVDlsxyjC,malicious,true,OpenPhish
openphish_061,openphish_malicious,https://www.robiox.com.py/users/168363516318/profile,malicious,true,OpenPhish
openphish_062,openphish_malicious,https://teach.link/zSjrnr,malicious,true,OpenPhish
openphish_063,openphish_malicious,https://office.redstarsoft.net/,malicious,true,OpenPhish
openphish_064,openphish_malicious,http://holy-bird-c596.ilovegeniunes.workers.dev/refa/,malicious,true,OpenPhish
openphish_065,openphish_malicious,https://maxudijal.uk.cc/5g,malicious,true,OpenPhish
openphish_066,openphish_malicious,https://www.bybitget.com/bybit-zhuce-2025.html,malicious,true,OpenPhish
openphish_067,openphish_malicious,http://bafkreidzucisbrwkihjcbqdjbykcvgrsqgcypgdpqdnoc3ueck7f7fk75e.ipfs.dweb.link/,malicious,true,OpenPhish
openphish_068,openphish_malicious,http://applefind.us/ICL26,malicious,true,OpenPhish
openphish_069,openphish_malicious,https://m.365365g.app:443/chs/,malicious,true,OpenPhish
openphish_070,openphish_malicious,https://m.365365g.app/,malicious,true,OpenPhish
openphish_071,openphish_malicious,https://teach.link/fK687K,malicious,true,OpenPhish
openphish_072,openphish_malicious,https://www.365365g.app/,malicious,true,OpenPhish
openphish_073,openphish_malicious,https://dhruvmistry022.github.io/DM/,malicious,true,OpenPhish
openphish_074,openphish_malicious,https://shiwang11.github.io/AMAZON.github.io/,malicious,true,OpenPhish
openphish_075,openphish_malicious,https://www.haematogenesis.gtyww.com/,malicious,true,OpenPhish
openphish_076,openphish_malicious,https://chymnrmp.pages.dev/?naps,malicious,true,OpenPhish
openphish_077,openphish_malicious,https://beratozer34.github.io/instagram/,malicious,true,OpenPhish
openphish_078,openphish_malicious,http://ledgerwalletdeviceupdateweb3.com/,malicious,true,OpenPhish
openphish_079,openphish_malicious,https://135461223.site/lt/1786/5758c82a-1c96-4695-8091-3aa29721c4d3/746354,malicious,true,OpenPhish
openphish_080,openphish_malicious,http://supportscloud.us/ICL26,malicious,true,OpenPhish
openphish_081,openphish_malicious,https://mail.supportscloud.us/ICL26,malicious,true,OpenPhish
openphish_082,openphish_malicious,https://www.roblox.com.ml/users/366164058777/profile,malicious,true,OpenPhish
openphish_083,openphish_malicious,https://wordpress-212754-0.cloudclusters.net/lmefix/swisspass-sbbclient/ch1190083/,malicious,true,OpenPhish
openphish_084,openphish_malicious,https://site-yrcwyxkr5.godaddysites.com/,malicious,true,OpenPhish
openphish_085,openphish_malicious,https://www.roblox.com.bn/users/251481837838/profile,malicious,true,OpenPhish
openphish_086,openphish_malicious,http://demo-8fc.pages.dev/,malicious,true,OpenPhish
openphish_087,openphish_malicious,https://135461223.site/lt/1786/5758c82a-1c96-4695-8091-3aa29721c4d3/746354/x,malicious,true,OpenPhish
openphish_088,openphish_malicious,https://135461223.site/1786/5758c82a-1c96-4695-8091-3aa29721c4d3/746354,malicious,true,OpenPhish
openphish_089,openphish_malicious,http://strt-trezrio.framer.ai/,malicious,true,OpenPhish
openphish_090,openphish_malicious,http://www.barwatson.com/newpo/login.php,malicious,true,OpenPhish
openphish_091,openphish_malicious,https://dienst-k.com/app/index.php?view=main&id=cf2b2f09c04d5be7675be468c0b34ae0,malicious,true,OpenPhish
openphish_092,openphish_malicious,https://dienst-k.com/,malicious,true,OpenPhish
openphish_093,openphish_malicious,https://mail.locations-findmy.us/ICL26/,malicious,true,OpenPhish
openphish_094,openphish_malicious,https://135461223.site/sv/1780/28144281361503574-44966031792541/746353/x,malicious,true,OpenPhish
openphish_095,openphish_malicious,https://135461223.site/sv/1780/28144281361503574-44966031792541/746353,malicious,true,OpenPhish
openphish_096,openphish_malicious,https://concordedvisory.com/3oxSzWbIq8F88RnPtcD6Rhuf04Q1NwgQ_96N53m4S6yV8lKee16R5j7hQ7W9Qp2idyF5cN59n4Uw59JsNrjEL9viP39b2OT2uPR3LWPC0YFD-EBkw1Y7X6031kHPVaJKVZR_GfNx66p7oL6Mxd0dZG6b1AGaa8uj_DBHiFpj8VwOC3kriJ0R9tb3zxPRzG69F3Y2m28mKoZ95G076SeYJ5P5Lx6v22COzbQQBBVXqEd01pP5l/Zr4pqJUO42IV,malicious,true,OpenPhish
openphish_097,openphish_malicious,https://shopee-tbk778.blogspot.com/,malicious,true,OpenPhish
openphish_098,openphish_malicious,http://www.shopee-tbk778.blogspot.com/,malicious,true,OpenPhish
openphish_099,openphish_malicious,https://yte-kurds.wasmer.app/,malicious,true,OpenPhish
openphish_100,openphish_malicious,https://www.b3520.com/,malicious,true,OpenPhish
