case_id,category,source,url,expected_label,expected_malicious,api_mode,status,http_status,verdict,predicted_positive,predicted_danger,outcome,score,final_url,elapsed_seconds,pipeline_total_seconds,normalize_seconds,unchain_seconds,threat_db_seconds,domain_heuristic_seconds,content_analysis_seconds,gsb_checked,gsb_threat,gsb_error,urlhaus_checked,urlhaus_threat,urlhaus_match_type,urlhaus_error,domain_score,domain_signals,content_fetched,content_score,content_signals,content_error,content_status_code,ai_verdict,ai_error,ai_model,ai_prompt_tokens,ai_completion_tokens,ai_total_tokens,failed_at_stage,failure_error_code,failure_status_code,failure_error,no_verdict_reason,error
openphish_001,openphish_malicious,OpenPhish,https://cre-ditagricole-iinfotys.iceiy.com/,malicious,true,ai,success,200,caution,true,false,TP,31,https://cre-ditagricole-iinfotys.iceiy.com/,9.267451,9.25938,0.000315,1.30223,0.16678,3.7569,4.19927,True,False,,True,False,,,,,True,31,,,200,suspicious,,gpt-4o-mini,719,32,751,,,,,,
openphish_001,openphish_malicious,OpenPhish,https://cre-ditagricole-iinfotys.iceiy.com/,malicious,true,no_ai,success,200,safe,false,false,FN,,https://cre-ditagricole-iinfotys.iceiy.com/,5.971476,5.965927,0.000196,1.322414,0.279886,3.754675,0.887987,True,False,,True,False,,,,,True,0,,,200,,,,,,,,,,,,
openphish_002,openphish_malicious,OpenPhish,https://aumentatucupovirt-co.vercel.app/,malicious,true,ai,success,200,danger,true,true,TP,100,https://aumentatucupovirt-co.vercel.app/,0.680921,0.676636,0.000247,0.449856,0.225812,0.225973,2.3e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_002,openphish_malicious,OpenPhish,https://aumentatucupovirt-co.vercel.app/,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://aumentatucupovirt-co.vercel.app/,0.380761,0.376859,0.000159,0.104543,0.271357,0.271585,3.2e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_003,openphish_malicious,OpenPhish,https://box-file-1mer.p-2myde94o.workers.dev/l/hew6apnVFhQ,malicious,true,ai,success,200,danger,true,true,TP,75,https://box-file-1mer.p-2myde94o.workers.dev/l/hew6apnVFhQ,2.550374,2.54486,0.000306,1.240529,0.287523,1.303264,,True,False,,True,False,,,75,HOSTING_PLATFORM|BRAND_IN_URL|FREE_HOSTING_LURE,False,0,FETCH_FAILED,page_unavailable,403,,,,,,,,,,,,
openphish_003,openphish_malicious,OpenPhish,https://box-file-1mer.p-2myde94o.workers.dev/l/hew6apnVFhQ,malicious,true,no_ai,success,200,danger,true,true,TP,75,https://box-file-1mer.p-2myde94o.workers.dev/l/hew6apnVFhQ,1.491001,1.487096,0.000217,1.089865,0.267396,0.396422,,True,False,,True,False,,,75,HOSTING_PLATFORM|BRAND_IN_URL|FREE_HOSTING_LURE,False,0,FETCH_FAILED,page_unavailable,403,,,,,,,,,,,,
openphish_004,openphish_malicious,OpenPhish,http://myprojectdoc.online/19ec5a,malicious,true,ai,success,200,caution,true,false,TP,50,http://myprojectdoc.online/19ec5a,2.834299,2.82842,0.000214,0.089937,0.325294,2.737703,,True,False,,True,False,,,50,NO_HTTPS|BRAND_IN_URL,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_004,openphish_malicious,OpenPhish,http://myprojectdoc.online/19ec5a,malicious,true,no_ai,success,200,caution,true,false,TP,50,http://myprojectdoc.online/19ec5a,0.361279,0.356798,0.000171,0.002257,0.353935,0.000499,,True,False,,True,False,,,50,NO_HTTPS|BRAND_IN_URL,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_005,openphish_malicious,OpenPhish,https://gov.parking-fine.top/com/,malicious,true,ai,success,200,danger,true,true,TP,100,https://gov.parking-fine.top/com/,0.518201,0.513879,0.00021,0.261226,0.25135,0.251796,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_005,openphish_malicious,OpenPhish,https://gov.parking-fine.top/com/,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://gov.parking-fine.top/com/,0.446240,0.442766,0.0002,0.002609,0.439176,0.439527,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_006,openphish_malicious,OpenPhish,https://gov.parking-fines.top/com/,malicious,true,ai,success,200,danger,true,true,TP,100,https://gov.parking-fines.top/com/,0.661368,0.657871,0.000175,0.246259,0.410284,0.410787,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_006,openphish_malicious,OpenPhish,https://gov.parking-fines.top/com/,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://gov.parking-fines.top/com/,0.250320,0.246926,0.000164,0.002788,0.243174,0.243555,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_007,openphish_malicious,OpenPhish,https://gov.fine-parking.top/com/,malicious,true,ai,success,200,danger,true,true,TP,100,https://gov.fine-parking.top/com/,0.739846,0.736763,0.000177,0.270916,0.46448,0.464771,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_007,openphish_malicious,OpenPhish,https://gov.fine-parking.top/com/,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://gov.fine-parking.top/com/,0.239341,0.236207,0.000164,0.001524,0.233963,0.234198,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_008,openphish_malicious,OpenPhish,http://dougtallmadge.github.io/amex-platinum-clone-v2,malicious,true,ai,success,200,danger,true,true,TP,100,https://dougtallmadge.github.io/amex-platinum-clone-v2/,1.896026,1.892167,9.1e-05,1.258835,0.631921,0.632451,3.3e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_008,openphish_malicious,OpenPhish,http://dougtallmadge.github.io/amex-platinum-clone-v2,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://dougtallmadge.github.io/amex-platinum-clone-v2/,0.866111,0.862522,0.000184,0.29669,0.564669,0.564925,2.7e-05,True,True,,True,False,,,,,False,0,SKIPPED_ALREADY_DANGER,skipped_already_danger,,,,,,,,,,,,,
openphish_009,openphish_malicious,OpenPhish,https://shopee-day29.blogspot.com/?m=1,malicious,true,ai,success,200,danger,true,true,TP,76,https://shopee-day29.blogspot.com/?m=1,5.811689,5.808543,0.00019,0.88012,0.248663,1.272704,3.655249,True,False,,True,False,,,30,BRAND_IN_URL,True,46,LOGO_ALT_IMPERSONATION|EXTERNAL_LINK_OVERUSE,,200,suspicious,,gpt-4o-mini,973,31,1004,,,,,,
openphish_009,openphish_malicious,OpenPhish,https://shopee-day29.blogspot.com/?m=1,malicious,true,no_ai,success,200,caution,true,false,TP,45,https://shopee-day29.blogspot.com/?m=1,2.718584,2.716681,9.1e-05,0.788384,0.323411,0.005126,1.604353,True,False,,True,False,,,30,BRAND_IN_URL,True,15,LOGO_ALT_IMPERSONATION|EXTERNAL_LINK_OVERUSE,,200,,,,,,,,,,,,
openphish_010,openphish_malicious,OpenPhish,https://www.dpd-noticp.shop/com/,malicious,true,ai,success,200,danger,true,true,TP,100,https://www.dpd-noticp.shop/com/,0.466919,0.462896,0.000104,0.12945,0.332174,0.332661,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_010,openphish_malicious,OpenPhish,https://www.dpd-noticp.shop/com/,malicious,true,no_ai,success,200,danger,true,true,TP,100,https://www.dpd-noticp.shop/com/,0.302378,0.296097,0.000242,0.00178,0.292911,0.293444,,True,True,,True,False,,,,,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_011,openphish_malicious,OpenPhish,https://bdbofp.com/ph/personal/,malicious,true,ai,success,200,caution,true,false,TP,56,https://bdbofp.com/ph/personal/,3.386920,3.380805,0.000219,0.501887,0.274113,1.184737,1.693276,True,False,,True,False,,,25,NEW_DOMAIN,True,31,SPA_SHELL,,200,suspicious,,gpt-4o-mini,704,30,734,,,,,,
openphish_011,openphish_malicious,OpenPhish,https://bdbofp.com/ph/personal/,malicious,true,no_ai,success,200,safe,false,false,FN,25,https://bdbofp.com/ph/personal/,0.633823,0.628615,0.000203,0.216576,0.249198,0.003913,0.162194,True,False,,True,False,,,25,NEW_DOMAIN,True,0,SPA_SHELL,,200,,,,,,,,,,,,
openphish_012,openphish_malicious,OpenPhish,http://www.gov-parkingsis.cyou/com,malicious,true,ai,success,200,danger,true,true,TP,75,http://www.gov-parkingsis.cyou/com,1.853322,1.848729,0.0002,0.082447,0.345037,1.765271,,True,False,,True,False,,,75,NO_HTTPS|BRAND_IN_URL|NEW_DOMAIN,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
openphish_012,openphish_malicious,OpenPhish,http://www.gov-parkingsis.cyou/com,malicious,true,no_ai,success,200,danger,true,true,TP,75,http://www.gov-parkingsis.cyou/com,0.216731,0.212235,0.000187,0.002759,0.208817,0.000774,,True,False,,True,False,,,75,NO_HTTPS|BRAND_IN_URL|NEW_DOMAIN,False,0,FETCH_FAILED,page_unavailable,,,,,,,,,,,,,
